"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
140,552,2427429,64653253,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
141,513,2427409,64653312,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
142,476,2427391,64653367,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
143,442,2427374,64653418,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
144,411,2427358,64653465,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
145,382,2427343,64653509,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
146,355,2427329,64653550,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
147,330,2427316,64653588,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
148,307,2427304,64653623,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
149,285,2427293,64653656,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
150,265,2427283,64653686,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
