"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
131,17,15204,451878,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
132,16,15204,451879,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
133,15,15204,451880,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
134,15,15203,451881,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
135,15,15202,451882,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
136,15,15201,451883,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
137,15,15200,451884,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
138,15,15199,451885,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
139,15,15198,451886,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
140,15,15197,451887,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
141,15,15196,451888,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
142,15,15195,451889,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
143,15,15194,451890,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
144,15,15193,451891,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
145,15,15192,451892,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
146,15,15191,451893,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
147,15,15190,451894,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
148,15,15189,451895,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
149,15,15188,451896,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
150,15,15187,451897,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
