"","t","S.t","Z.t","R.t","N","beta","kappa","rho"
"73",73,3,64066,435931,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"74",74,3,64073,435924,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"75",75,3,64080,435917,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"76",76,3,64087,435910,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"77",77,3,64094,435903,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"78",78,3,64101,435896,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"79",79,3,64108,435889,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"80",80,3,64115,435882,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"81",81,3,64122,435875,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"82",82,3,64129,435868,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"83",83,3,64136,435861,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"84",84,3,64143,435854,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"85",85,3,64150,435847,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"86",86,3,64157,435840,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"87",87,3,64164,435833,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"88",88,3,64171,435826,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"89",89,3,64178,435819,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"90",90,3,64185,435812,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"91",91,3,64192,435805,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"92",92,3,64199,435798,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"93",93,3,64206,435791,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"94",94,3,64213,435784,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"95",95,3,64220,435777,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"96",96,3,64227,435770,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"97",97,3,64234,435763,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"98",98,3,64241,435756,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"99",99,3,64248,435749,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"100",100,3,64255,435742,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"101",101,3,64262,435735,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"102",102,3,64269,435728,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"103",103,3,64276,435721,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"104",104,3,64283,435714,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"105",105,3,64290,435707,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"106",106,3,64297,435700,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"107",107,3,64304,435693,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"108",108,3,64311,435686,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"109",109,3,64318,435679,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"110",110,3,64325,435672,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"111",111,3,64332,435665,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
